name;ingredients;nutrients.energy;nutrients.proteins;nutrients.carbohydrates;nutrients.lipids;nutrients.sugar;nutrients.dietaryFiber;nutrients.calcium;nutrients.iron;nutrients.magnesium;nutrients.zinc;nutrients.vitaminD;nutrients.vitaminE;nutrients.vitaminK1;nutrients.vitaminK2;nutrients.vitaminC;nutrients.vitaminB1;nutrients.vitaminB2;nutrients.vitaminB3;nutrients.vitaminB5;nutrients.vitaminB6;nutrients.vitaminB9;nutrients.vitaminB12;nutrients.starch;nutrients.saturatedFattyAcid;nutrients.monounsaturatedFattyAcid;nutrients.sodiumChlorideSalt;nutrients.potassium;nutrients.sodium;nutrients.solenium;image;weight;description;type;price
Salade de thon et légumes;Carottes,thon,courgettes,oignons verts,riz;-;9,15;7,74;4,7;3,08;2,7;20,7;1,1;25,1;0,6;0,5;1,6;-;-;2,75;0,04;0,053;4,45;0,16;0,29;31;1,45;4,1;0,56;1,83;1,11;232;445;-;salade-de-thon.jpeg;220;Une délicieuse salade  au thon aux saveurs méditerranéenne une recette estivale .;;22.50
Salade composée avec viande;;-;8,06;6,4;5,3;1,9;2;22;0,7;20;0,38;0,44;2,04;9,75;-;-;0,032;0,022;4,13;0,2;0,12;11,1;1,23;3,3;0,16;3,27;0,95;220;381;30;;250;;;25
Champignons à la grecque;Pommes de terre,oeufs,tomate cerise,ciboulette;-;2,08;3,95;3,55;2,38;2,35;27;1,06;13,5;0,4;0;1,08;-;-;6,67;0,056;0,21;1,84;0,88;0,088;19,6;0,018;0,99;0,23;0,2;1,26;277;50;1,79;;230;;;22
Salade de pommes de terre, fait maison, végétarienne;;-;2,68;9,9;8,2;-;1,3;19;0,65;15;0,31;0;-;-;-;10;0,077;0,06;0,89;0,53;0,14;7;0;-;1,43;2,48;1,32;254;529;-;salade-de-pommes-de-terre.jpeg;260;C'est l'un des plats les plus populaires dans la cuisine allemande, autrichienne et slave.;vegetarian;21
Salade de couscous, végétarienne;Couscous moyen,tomate roma,oignons nouveaux,concombre,jus de citron ,Huile d'olive,Persil;179;4,88;23,7;6,7;4,9;2,5;24;0,88;25;0,65;0;1,26;10,6;-;6,27;0,087;0,024;0,5;0,26;0,052;14,5;0;17,7;0,67;4,23;1;210;399;020;salade-de-couscous.jpeg;210;Cette recette d’origine libanaise est parfaite en ballade, car elle ne coule pas, ne mouille pas la salade;vegetarian;30
Salade de pomme de terre à la piémontaise;Pommes de terre à chair,tomates fermes,jambon,oeufs durs,mayonnaise,cornichons,sel fin;130;4,5;8,87;8,3;1,2; 0,5;13;0,43;16;0,49;0,5;3,96;10,9;-;21,6;0,08;0,049;0,98;0,44;0,099;21,6;-;6;0,82;5,02;1,08;30;433;020;salade-piemontaise-de-pomme-de-terre.jpeg;215;Recette très savoureuse, vous découvrirez la salade de pommes de terre d'une manière différente;;24.40
Salade de riz;Riz,oeufs durs,thon,oeufs durs,maïs,tomates,poivron,vinaigrette;-;5,13;16,1;4,35;1;1,7;23,3;0,43;13,1;0,3;0,5;1,63;-;-;4,48;0,058;0,045;2,65;0,14;0,13;33,5;0,43;14,3;0,53;2,23;1,1;143;431;17,7;salade-de-riz.jpeg;225;Rien que des bonnes petites choses fraîches et savoureuses pour une salade composée au top !;;25.70
Salade de pâtes, végétarienne;Penne,avocat,tomates-cerises,tomates séchées marinées à l'huile d'olive,botte de basilic,pignons de pin grillés à sec,olives noires,feta;-;5,7;13,7;8,1;2,3;1,7;14;0,6;11;0,4;0;1,95;-;-;21;0,04;0,02;0,4;0;0,09;16;0;10;2,37;1,46;1,04;84;51;-;salade-de-pate-vegetarian.jpeg;252;Les salades de pâtes sont idéales en été. Elles sont savoureuses, variées et nourrissantes ;vegetarian;22.30
Salade de pâtes aux légumes, avec poisson ;;-;5,19;14;9,94;2,16;1,98;19;0,95;23,3;0,53;0,12;1,18;-;-;12,3;0,064;0,057;1,77;0,28;0,14;18,4;0,14;7,92;1,74;5,85;0,95;193;378;5,3;;216;;;19
Macédoine de légumes en salade;;-;2,81;7;9,3;2,3;4,11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,7;-;1,04;-;426;-;;310;;;28
Salade César au poulet;;-;8,13;4,88;10;1,71;2;10;0,5;19;0,69;0,25;2,24;32;-;1,11;0,096;0,068;2,29;0,47;0,094;29,3;0,48;3,17;2,36;4,99;0,75;30;301;020;;210;;;33
Carottes râpées, avec sauce;;-;0,98;6,01;5;5,2;3,64;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,43;2,53;0,67;-;264;-;;212;;;17.80
