name;description;ingredients;nutrients.energy;nutrients.proteins;nutrients.carbohydrates;nutrients.lipids;nutrients.sugar;nutrients.dietaryFiber;nutrients.calcium;nutrients.iron;nutrients.magnesium;nutrients.zinc;nutrients.vitaminD;nutrients.vitaminE;nutrients.vitaminK1;nutrients.vitaminK2;nutrients.vitaminC;nutrients.vitaminB1;nutrients.vitaminB2;nutrients.vitaminB3;nutrients.vitaminB5;nutrients.vitaminB6;nutrients.vitaminB9;nutrients.vitaminB12;nutrients.starch;nutrients.saturatedFattyAcid;nutrients.monounsaturatedFattyAcid;nutrients.sodiumChlorideSalt;nutrients.potassium;nutrients.sodium;nutrients.solenium;image;weight;description;price;
Jus multifruit multivitaminé;;"[""Pommes"",""pêche"",""citron vert"",""orange"",""banane"",""citron jaune"",""pamplemousse""]";;;;0,1;11;0,25;9,6;0,12;9,98;0,036;0,5;2;-;-;24;0,24;0,32;0,29;0,095;0,33;30,5;0;0;0;traces;0,0038;171;1,5;0 10;jus-multifruit.jpeg;;Сe jus est rempli d'une large gamme de vitamines et de nutriments;;
Jus de carotte;;"[""Carottes"",""orange"",""gingembre frais"",""citron""]";;;;0,1;5,95;0,33;13,6;0,46;8,75;0,086;0;1,16;15,5;-;8,5;0,092;0,055;0,39;0,23;0,22;4;0;traces;0,037;0,0025;0,1;210;42,5;0 2,2;jus-de-carrote.jpeg;;"A de la carotte prévie nt l'appariti on des rides  et améliore  l’élastici té de  vo tre peau.En  outre  riches  en  fibres  sont  bénéfiques  pour  le  système  digestif.""";;
Jus de citron;;"[""Citron"",""eau"",""sucre vanillé"",""Sucre""]";;;;0,24;2,06;0,3;12,4;0,24;5,99;0,049;0;0,095;0;-;42,4;0,022;0,013;0,096;0,12;0,048;13,5;0;0;0,04;0,006;0,0065;132;2,62;0 2,2;jus-de-citron.jpeg;;à faire ;16.80;
Jus de fruits (aliment moyen);;;47;0,52;9,58;0,14;9,24;0,29;5;0,12;9,22;0,041;0,0001;0,18;0,14;;32,5;0,064;0,023;0,29;0,19;0,086;22,8;0;0,011;0,041;0,014;0,012;152;5,18;;;;;;
Jus multifruit - base orange, multivitaminé;;;-;0,5;11,7;0,8;11,1;0,5;11;0,1;8,7;0,05;-;-;0,8;-;34,7;0,34;0,077;4,76;1,19;0,45;90;1;0,35;-;-;0,008;150;3,2;0 20;;;;;
Jus d'orange, à base de concentré;;;45,6;0,63;9,59;0,13;9,59;0,25;7,25;0,08;10,9;0,022;0;0,15;0;-;44,2;0,08;0,034;0,3;0,24;0,1;30;0;0;0,034;0,03;0,0084;154;3,44;0 10;;;;;
Jus d'orange, maison;;;-;0,7;9,4;0,2;8,4;0,2;10,5;0,079;13,2;0,027;0;0,04;0,1;-;50;0,09;0,03;0,4;0,19;0,04;30;0;0;0,024;0,036;0,0025;200;0 1,11;0 10;;;;;
Jus de pomme, à base de concentré;;;48,5;0,24;11,3;0,098;10,8;0,3;6,45;0,085;7,07;0,01;0;0,01;0;-;13,2;0,021;0,017;0,16;0,063;0,03;4,95;0;0;0,033;0,006;0,014;128;3,98;0 10;;;;;
Jus de pamplemousse (pomélo), à base de concentré;;;40,9;0,52;8,41;0,1;8,41;0,21;10,6;0,15;7,91;0,037;0;0,04;0;-;23,7;0,041;0,015;0,055;0,13;0,016;11,8;0;0;0,055;0,0085;0,01;115;3,97;0 2,2;;;;;
Jus de raisin, pur jus;;;69,2;0,25;16,3;0,057;16;0,14;8,29;0,47;8,35;0,056;0;0,4;0,4;-;-;0,022;0,026;0,29;0,045;0,049;0 5;0;0;0,031;0,003;0,0089;114;3,81;0 10;;;;;
Jus de grenade, pur jus;;;-;0,15;13;0,29;12,7;0,1;11;0,1;7;0,09;0;0,38;10,4;-;0,1;0,015;0,015;0,23;0,29;0,04;24;0;-;0,077;0,059;0,023;214;9;-;;;;;
Jus de pruneau;;;-;0,37;18,7;0,039;13,5;0,45;12;1,18;14;0,21;0;0,12;3,4;-;4,1;0,016;0,07;0,79;0,11;0,22;-;0;-;0,003;0,021;0,025;276;10;-;;;;;
Jus de raisin, à base de concentré;;;68,8;0,31;16;0,11;16;0,15;16;0,43;7,8;0,05;-;0,67;0,8;-;9;0,046;0,021;0,23;0,063;0,073;43;-;0;0,055;-;0,0074;62;2,83;0 20;;;;;
Jus de mangue, frais;;;-;0,19;9,5;0;9,3;traces;-;-;14,3;0,02;0;1,05;-;-;-;0,01;-;-;0,14;0,12;27,1;0;0,2;traces;traces;0,028;-;-;0,1;;;;;
Jus de fruit de la passion ou maracudja, frais;;;-;0,67;14,3;0,18;14,3;0,2;4;0,36;17;0,06;0;0,01;0,4;-;18,2;0;0,1;2,24;-;0,06;8;0;-;0,015;0,022;0,015;278;6;-;;;;;
Jus de pamplemousse (pomélo), maison;;;-;0,5;9,1;0,1;9,1;0,1;9;0,2;12;0,05;0;0,22;0;-;38;0,04;0,02;0,2;0,19;0,044;10;0;0;0,014;0,013;0,0025;162;1;-;;;;;
Jus de tomate, pur jus, salé à 3 g/L;;;23,2;0,88;4,13;0,17;4,13;0,23;7,98;-;12,5;-;-;-;-;-;-;-;-;-;-;-;-;-;0;traces;-;0,3;263;119;-;;;;;
Jus de pamplemousse (pomelo), pur jus;;;42,5;0,49;8,89;0,083;8,89;0,15;4,83;0,15;8,63;0,1;0;0,19;-;-;22,5;0,043;0,017;0,12;0,13;0,048;12,6;-;0;0,044;0,0055;0,008;128;3,05;-;;;;;
Jus de citron, pur jus;;;-;0,4;6,1;0,29;2,4;0,4;11;0,13;8;0,06;0;0,15;0;-;24,8;0,041;0,009;0,2;0,091;0,043;10;0;0;0,038;0,011;0,053;102;21;-;;;;;
Jus de citron vert, maison;;;-;0,42;1,69;0,07;1,69;0,4;14;0,09;8;0,08;0;0,22;0,6;-;30;0,025;0,015;0,14;0,12;0,038;10;0;0;0,008;0,008;0,005;117;2;-;;;;;
Jus de citron vert, pur jus;;;-;0,25;1,24;0,23;1,24;0,45;12;0,23;7;0,06;0;0,12;0,5;-;6,4;0,033;0,003;0,16;0,066;0,027;8;0;-;0,026;0,022;0,026;75;10,5;-;;;;;
Jus de tomate, pur jus, salé à 6g/L;;;20,1;0,88;3,31;0,11;3,3;0,56;5,1;0,43;13,7;0,23;0;0,53;5,1;-;40;0,047;0,031;0,67;0,25;0,11;13;0;0;0,07;0,0075;0,6;302;231;0,3;;;;;
Jus multifruit, à base de jus et purée de fruits;;;-;0,46;11,5;0,11;11,3;0,21;-;-;-;-;-;1,12;-;-;19,4;0,13;0,13;1,45;0,52;0,18;23;-;-;0,026;-;0,01;-;3,99;-;;;;;
Jus de clémentine ou mandarine, pur jus;;;-;0,66;10,6;0,14;10;0,15;2,8;0,3;9,3;0,1;0;0,09;-;-;17,6;0,077;0,018;0,25;0,13;0,066;19;0;0;0,043;0,03;0,0094;123;3,79;0,5;;;;;
Jus multifruit, pur jus, standard;;;48,9;0,5;11,2;0,3;10,1;0,5;5,4;0,08;7;0,05;0;0,2;0,8;-;11,5;0,015;0,01;0,17;0,099;0,083;0 5;0;0,3;0,01;0,01;0,0023;140;0,92;0 20;;;;;
Jus multifruit - base raisin, standard;;;-;0,5;13;0;13;0,3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;0,0025;-;1;-;;;;;
Jus multifruit - base orange, standard;;;-;0,7;10,4;0,16;10,1;0,44;-;-;11,9;-;-;-;-;-;20,8;-;-;0,2;-;-;19,2;-;-;0,05;-;0,069;152;1,55;-;;;;;
Jus de grenade, frais;;;-;0,2;11,6;0;11,6;traces;3;0,2;-;0,1;0;0,55;-;-;8;0,02;0,03;0,2;-;0,31;6;-;0;0;0;0,0025;200;1;-;;;;;
Jus multifruit - base pomme, standard;;;-;0,33;12,2;0,1;10,1;0,5;-;-;5,94;-;-;-;-;-;25,4;-;-;0,38;-;-;16,2;-;-;-;-;0;99,1;0;-;;;;;
Jus multifruit - base pomme, multivitaminé;;;-;0,33;11;0,1;10,2;0,5;-;-;5,9;-;-;-;-;-;26,2;-;-;0,36;-;-;20,7;-;-;-;-;-;69,5;-;-;;;;;
Jus de fruit(s) et de légume(s), pur jus;;;-;0,85;9,5;traces;8,6;0,7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;traces;-;traces;-;0,1;-;;;;;
