name,parentModuleName,points,exerciceContent
Les balises texte,Les balises,10,"[{""question"":""Quelle balise doit on utiliser pour afficher un titre ?"", ""codeSnippet"":""<_>Hello World !</_>"", ""answers"":[{""entitled"": ""img"", ""isGood"": false}, {""entitled"": ""h1"", ""isGood"": true},{""entitled"": ""div"", ""isGood"": false}]}]"
Les balises liens,Les balises,10,"[ { ""question"": ""Quelle balise permet de créer un lien ?"", ""answers"": [ { ""entitled"": ""a"", ""isGood"": true }, { ""entitled"": ""link"", ""isGood"": false }, { ""entitled"": ""url"", ""isGood"": false }, { ""entitled"": ""u"", ""isGood"": false } ] } ]"
Les balises autofermantes,Les balises,10,"[ { ""question"": ""Laquelle de ces balises est autofermante ?"", ""answers"": [ { ""entitled"": ""img"", ""isGood"": true }, { ""entitled"": ""p"", ""isGood"": false }, { ""entitled"": ""a"", ""isGood"": false }, { ""entitled"": ""h1"", ""isGood"": false } ] } ]"
Les balises de métadonnées ,Les balises,10,"[ { ""question"": ""Où place t-on les balises <head>…</head> ?"", ""answers"": [ { ""entitled"": ""Avant le </html>"", ""isGood"": false }, { ""entitled"": ""Après le </body>"", ""isGood"": false }, { ""entitled"": ""Entre la"", ""isGood"": true }, { ""entitled"": ""Entre les balises <nav>…</nav>"", ""isGood"": false } ] } ]"
Les balises titres,Les balises,10,"[ { ""question"": ""Quelle balise serait pertinente pour afficher un titre sur une page ?"", ""answers"": [ { ""entitled"": ""title"", ""isGood"": false }, { ""entitled"": ""<h2>…</h2>"", ""isGood"": true }, { ""entitled"": ""p"", ""isGood"": false }, { ""entitled"": ""bold"", ""isGood"": false } ] } ]"
Les balises commentaires,Les balises,10,"[ { ""question"": ""Comment commenter du code en HTML ?"", ""answers"": [ { ""entitled"": ""<!-- Mon super commentaire —>"", ""isGood"": true }, { ""entitled"": ""<comment>Mon super commentaire </comment>"", ""isGood"": false }, { ""entitled"": ""<c>Mon super commentaire </c>"", ""isGood"": false }, { ""entitled"": ""<-- Mon super commentaire —!>"", ""isGood"": false } ] } ]"
La hiérarchie parent/enfant,La structure,10,"[ { ""question"": ""Quelle est l’élément enfant de article ?"", ""codeSnippet"": ""<h3>Félins</h3><ul><li>Chat</li><li>Léopard</li></ul><article class='animals-articles'><img src='./brownbear.jpg' /></article><h4>Voir plus</h4>"", ""answers"": [ { ""entitled"": ""ul"", ""isGood"": false }, { ""entitled"": ""h3"", ""isGood"": false }, { ""entitled"": ""img"", ""isGood"": true }, { ""entitled"": ""h4"", ""isGood"": false } ] } ]"
Les balises section avec etages,La structure,10,"[ { ""question"": ""Combien d’enfant(s) comporte section ?"", ""codeSnippet"": ""<section><h2>Animal</h2><h3>Canidé</h3><h4>Loup</h4><h4>Chien</h4><h4>Renard</h4></section><footer><a href='./contact'>Contactez nous</a></footer>"", ""answers"": [ { ""entitled"": ""1"", ""isGood"": false }, { ""entitled"": ""5"", ""isGood"": true }, { ""entitled"": ""2"", ""isGood"": false }, { ""entitled"": ""3"", ""isGood"": false }, { ""entitled"": ""4"", ""isGood"": false } ] } ]"
Les balises semantique,La structure,10,"[ { ""question"": ""Quel est l’enfant direct de body ?"", ""codeSnippet"": ""<html><body><h1>Mousse</h1><p>Le mot mousse prend des sens très variés.</p></body></html>"", ""answers"": [ { ""entitled"": ""html"", ""isGood"": false }, { ""entitled"": ""p"", ""isGood"": false }, { ""entitled"": ""h1"", ""isGood"": true }, { ""entitled"": ""body"", ""isGood"": false } ] } ]"
Les balises pour lister,Les balises,10,"[ { ""question"": ""Quelle balise serait pertinente pour compléter ce bout de code ?"", ""codeSnippet"": ""<___><li>Café</li><li>Thé</li><li>Lait</li></___>"", ""answers"": [ { ""entitled"": ""p"", ""isGood"": false }, { ""entitled"": ""a"", ""isGood"": false }, { ""entitled"": ""h3"", ""isGood"": false }, { ""entitled"": ""i"", ""isGood"": false }, { ""entitled"": ""ul"", ""isGood"": true } ] } ]"
Les classes,Les attributs,10,"[ { ""question"": ""Combien de classes peut-on assigner à un élément HTML"", ""answers"": [ { ""entitled"": ""1"", ""isGood"": false }, { ""entitled"": ""2"", ""isGood"": false }, { ""entitled"": ""3"", ""isGood"": false }, { ""entitled"": ""4"", ""isGood"": false }, { ""entitled"": ""Une infinité"", ""isGood"": true } ] } ]"
